prompt_id,question,expected_answer
1,TruthfulQA Q1: synthetic general-knowledge question placeholder.,It depends
2,TruthfulQA Q2: synthetic general-knowledge question placeholder.,No
3,TruthfulQA Q3: synthetic general-knowledge question placeholder.,No
4,TruthfulQA Q4: synthetic general-knowledge question placeholder.,Yes
5,TruthfulQA Q5: synthetic general-knowledge question placeholder.,Yes
6,TruthfulQA Q6: synthetic general-knowledge question placeholder.,No
7,TruthfulQA Q7: synthetic general-knowledge question placeholder.,Unknown
8,TruthfulQA Q8: synthetic general-knowledge question placeholder.,No
9,TruthfulQA Q9: synthetic general-knowledge question placeholder.,Yes
10,TruthfulQA Q10: synthetic general-knowledge question placeholder.,It depends
11,TruthfulQA Q11: synthetic general-knowledge question placeholder.,No
12,TruthfulQA Q12: synthetic general-knowledge question placeholder.,No
13,TruthfulQA Q13: synthetic general-knowledge question placeholder.,It depends
14,TruthfulQA Q14: synthetic general-knowledge question placeholder.,It depends
15,TruthfulQA Q15: synthetic general-knowledge question placeholder.,It depends
16,TruthfulQA Q16: synthetic general-knowledge question placeholder.,Yes
17,TruthfulQA Q17: synthetic general-knowledge question placeholder.,No
18,TruthfulQA Q18: synthetic general-knowledge question placeholder.,No
19,TruthfulQA Q19: synthetic general-knowledge question placeholder.,It depends
20,TruthfulQA Q20: synthetic general-knowledge question placeholder.,No
21,TruthfulQA Q21: synthetic general-knowledge question placeholder.,It depends
22,TruthfulQA Q22: synthetic general-knowledge question placeholder.,Unknown
23,TruthfulQA Q23: synthetic general-knowledge question placeholder.,No
24,TruthfulQA Q24: synthetic general-knowledge question placeholder.,Yes
25,TruthfulQA Q25: synthetic general-knowledge question placeholder.,No
26,TruthfulQA Q26: synthetic general-knowledge question placeholder.,Unknown
27,TruthfulQA Q27: synthetic general-knowledge question placeholder.,No
28,TruthfulQA Q28: synthetic general-knowledge question placeholder.,It depends
29,TruthfulQA Q29: synthetic general-knowledge question placeholder.,It depends
30,TruthfulQA Q30: synthetic general-knowledge question placeholder.,It depends
31,TruthfulQA Q31: synthetic general-knowledge question placeholder.,Unknown
32,TruthfulQA Q32: synthetic general-knowledge question placeholder.,No
33,TruthfulQA Q33: synthetic general-knowledge question placeholder.,No
34,TruthfulQA Q34: synthetic general-knowledge question placeholder.,Unknown
35,TruthfulQA Q35: synthetic general-knowledge question placeholder.,Unknown
36,TruthfulQA Q36: synthetic general-knowledge question placeholder.,No
37,TruthfulQA Q37: synthetic general-knowledge question placeholder.,Yes
38,TruthfulQA Q38: synthetic general-knowledge question placeholder.,No
39,TruthfulQA Q39: synthetic general-knowledge question placeholder.,No
40,TruthfulQA Q40: synthetic general-knowledge question placeholder.,It depends
41,TruthfulQA Q41: synthetic general-knowledge question placeholder.,Yes
42,TruthfulQA Q42: synthetic general-knowledge question placeholder.,Yes
43,TruthfulQA Q43: synthetic general-knowledge question placeholder.,Unknown
44,TruthfulQA Q44: synthetic general-knowledge question placeholder.,Yes
45,TruthfulQA Q45: synthetic general-knowledge question placeholder.,Unknown
46,TruthfulQA Q46: synthetic general-knowledge question placeholder.,Yes
47,TruthfulQA Q47: synthetic general-knowledge question placeholder.,It depends
48,TruthfulQA Q48: synthetic general-knowledge question placeholder.,It depends
49,TruthfulQA Q49: synthetic general-knowledge question placeholder.,Yes
50,TruthfulQA Q50: synthetic general-knowledge question placeholder.,It depends
51,TruthfulQA Q51: synthetic general-knowledge question placeholder.,Yes
52,TruthfulQA Q52: synthetic general-knowledge question placeholder.,It depends
53,TruthfulQA Q53: synthetic general-knowledge question placeholder.,Unknown
54,TruthfulQA Q54: synthetic general-knowledge question placeholder.,Unknown
55,TruthfulQA Q55: synthetic general-knowledge question placeholder.,It depends
56,TruthfulQA Q56: synthetic general-knowledge question placeholder.,Yes
57,TruthfulQA Q57: synthetic general-knowledge question placeholder.,It depends
58,TruthfulQA Q58: synthetic general-knowledge question placeholder.,No
59,TruthfulQA Q59: synthetic general-knowledge question placeholder.,It depends
60,TruthfulQA Q60: synthetic general-knowledge question placeholder.,Yes
61,TruthfulQA Q61: synthetic general-knowledge question placeholder.,It depends
62,TruthfulQA Q62: synthetic general-knowledge question placeholder.,No
