prompt_id,question,expected_answer
1,GSM8K Q1: synthetic arithmetic word problem placeholder.,17
2,GSM8K Q2: synthetic arithmetic word problem placeholder.,2
3,GSM8K Q3: synthetic arithmetic word problem placeholder.,46
4,GSM8K Q4: synthetic arithmetic word problem placeholder.,16
5,GSM8K Q5: synthetic arithmetic word problem placeholder.,30
6,GSM8K Q6: synthetic arithmetic word problem placeholder.,76
7,GSM8K Q7: synthetic arithmetic word problem placeholder.,75
8,GSM8K Q8: synthetic arithmetic word problem placeholder.,31
9,GSM8K Q9: synthetic arithmetic word problem placeholder.,82
10,GSM8K Q10: synthetic arithmetic word problem placeholder.,57
11,GSM8K Q11: synthetic arithmetic word problem placeholder.,86
12,GSM8K Q12: synthetic arithmetic word problem placeholder.,51
13,GSM8K Q13: synthetic arithmetic word problem placeholder.,71
14,GSM8K Q14: synthetic arithmetic word problem placeholder.,39
15,GSM8K Q15: synthetic arithmetic word problem placeholder.,89
16,GSM8K Q16: synthetic arithmetic word problem placeholder.,100
17,GSM8K Q17: synthetic arithmetic word problem placeholder.,78
18,GSM8K Q18: synthetic arithmetic word problem placeholder.,9
19,GSM8K Q19: synthetic arithmetic word problem placeholder.,97
20,GSM8K Q20: synthetic arithmetic word problem placeholder.,51
21,GSM8K Q21: synthetic arithmetic word problem placeholder.,83
22,GSM8K Q22: synthetic arithmetic word problem placeholder.,3
23,GSM8K Q23: synthetic arithmetic word problem placeholder.,53
24,GSM8K Q24: synthetic arithmetic word problem placeholder.,65
25,GSM8K Q25: synthetic arithmetic word problem placeholder.,7
26,GSM8K Q26: synthetic arithmetic word problem placeholder.,52
27,GSM8K Q27: synthetic arithmetic word problem placeholder.,37
28,GSM8K Q28: synthetic arithmetic word problem placeholder.,62
29,GSM8K Q29: synthetic arithmetic word problem placeholder.,62
30,GSM8K Q30: synthetic arithmetic word problem placeholder.,12
31,GSM8K Q31: synthetic arithmetic word problem placeholder.,68
32,GSM8K Q32: synthetic arithmetic word problem placeholder.,88
33,GSM8K Q33: synthetic arithmetic word problem placeholder.,22
34,GSM8K Q34: synthetic arithmetic word problem placeholder.,75
35,GSM8K Q35: synthetic arithmetic word problem placeholder.,32
36,GSM8K Q36: synthetic arithmetic word problem placeholder.,8
37,GSM8K Q37: synthetic arithmetic word problem placeholder.,37
38,GSM8K Q38: synthetic arithmetic word problem placeholder.,35
39,GSM8K Q39: synthetic arithmetic word problem placeholder.,21
40,GSM8K Q40: synthetic arithmetic word problem placeholder.,20
41,GSM8K Q41: synthetic arithmetic word problem placeholder.,71
42,GSM8K Q42: synthetic arithmetic word problem placeholder.,75
43,GSM8K Q43: synthetic arithmetic word problem placeholder.,28
44,GSM8K Q44: synthetic arithmetic word problem placeholder.,19
45,GSM8K Q45: synthetic arithmetic word problem placeholder.,65
46,GSM8K Q46: synthetic arithmetic word problem placeholder.,75
47,GSM8K Q47: synthetic arithmetic word problem placeholder.,44
48,GSM8K Q48: synthetic arithmetic word problem placeholder.,28
49,GSM8K Q49: synthetic arithmetic word problem placeholder.,63
50,GSM8K Q50: synthetic arithmetic word problem placeholder.,45
51,GSM8K Q51: synthetic arithmetic word problem placeholder.,98
52,GSM8K Q52: synthetic arithmetic word problem placeholder.,6
53,GSM8K Q53: synthetic arithmetic word problem placeholder.,95
54,GSM8K Q54: synthetic arithmetic word problem placeholder.,78
55,GSM8K Q55: synthetic arithmetic word problem placeholder.,75
56,GSM8K Q56: synthetic arithmetic word problem placeholder.,40
57,GSM8K Q57: synthetic arithmetic word problem placeholder.,17
58,GSM8K Q58: synthetic arithmetic word problem placeholder.,67
59,GSM8K Q59: synthetic arithmetic word problem placeholder.,16
60,GSM8K Q60: synthetic arithmetic word problem placeholder.,15
61,GSM8K Q61: synthetic arithmetic word problem placeholder.,61
62,GSM8K Q62: synthetic arithmetic word problem placeholder.,27
63,GSM8K Q63: synthetic arithmetic word problem placeholder.,72
64,GSM8K Q64: synthetic arithmetic word problem placeholder.,86
65,GSM8K Q65: synthetic arithmetic word problem placeholder.,53
66,GSM8K Q66: synthetic arithmetic word problem placeholder.,28
67,GSM8K Q67: synthetic arithmetic word problem placeholder.,21
68,GSM8K Q68: synthetic arithmetic word problem placeholder.,96
69,GSM8K Q69: synthetic arithmetic word problem placeholder.,87
70,GSM8K Q70: synthetic arithmetic word problem placeholder.,32
71,GSM8K Q71: synthetic arithmetic word problem placeholder.,27
72,GSM8K Q72: synthetic arithmetic word problem placeholder.,86
73,GSM8K Q73: synthetic arithmetic word problem placeholder.,72
74,GSM8K Q74: synthetic arithmetic word problem placeholder.,10
75,GSM8K Q75: synthetic arithmetic word problem placeholder.,79
76,GSM8K Q76: synthetic arithmetic word problem placeholder.,75
77,GSM8K Q77: synthetic arithmetic word problem placeholder.,85
78,GSM8K Q78: synthetic arithmetic word problem placeholder.,67
79,GSM8K Q79: synthetic arithmetic word problem placeholder.,94
80,GSM8K Q80: synthetic arithmetic word problem placeholder.,35
81,GSM8K Q81: synthetic arithmetic word problem placeholder.,29
